G magnitude,Standard_deviation_of_AL_field_angle/mas
3,0.43118
4,0.43118
5.0192,0.43118
5.0982,0.3973
5.1435,0.41554
5.1947,0.4362
5.2368,0.40046
5.2782,0.35094
5.3016,0.31848
5.3819,0.32421
5.4007,0.324
5.4648,0.28562
5.4797,0.26826
5.5017,0.2575
5.5788,0.25973
5.5969,0.26007
5.6824,0.23002
5.7019,0.21719
5.7964,0.22197
5.8379,0.2159
5.889,0.20278
6.0037,0.19529
6.1015,0.188455
6.2005,0.19633
6.3437,0.19159
6.4389,0.1953
6.5056,0.204
6.6357,0.19633
6.7044,0.189024
6.7828,0.187595
6.8533,0.19021
6.9032,0.19236
7.0004,0.1911
7.102,0.19326
7.1467,0.19686
7.2031,0.20133
7.3002,0.19667
7.3196,0.19948
7.3896,0.20699
7.4822,0.2126
7.5269,0.21253
7.6007,0.20961
7.67,0.21359
7.7108,0.21536
7.7652,0.21479
7.9005,0.21902
8.0139,0.21823
8.1486,0.22055
8.2522,0.21594
8.4802,0.20375
8.6563,0.185281
8.8636,0.171174
9.0915,0.161517
9.3299,0.157311
9.5008,0.155045
9.5786,0.157313
9.6025,0.157886
9.7094,0.155559
9.8272,0.156488
9.9568,0.15815
10.0863,0.157319
10.2042,0.159043
10.3246,0.156493
10.5526,0.147664
10.6031,0.145969
10.7805,0.154038
10.9567,0.168508
11.1535,0.183367
11.3012,0.1909
11.3815,0.187284
11.5784,0.171206
11.7753,0.158171
11.9825,0.146901
12.0881,0.140872
12.2105,0.137157
12.4592,0.136437
12.6975,0.142327
12.8736,0.15735
12.9054,0.160021
13.0084,0.144602
13.0595,0.13712
13.1081,0.133239
13.1742,0.13501
13.4228,0.140839
13.6404,0.150054
13.858,0.161571
14.0652,0.173054
14.2725,0.187322
14.4693,0.2017
14.6766,0.21833
14.8631,0.23508
15.0599,0.25447
15.2568,0.27837
15.4537,0.30292
15.6402,0.32963
15.837,0.35869
16.0131,0.39446
16.1495,0.42095
16.2801,0.44804
16.3849,0.47189
16.463,0.49132
16.5689,0.51884
16.6563,0.5419
16.7632,0.57135
16.8804,0.60779
17.0161,0.65302
17.1384,0.69942
17.2566,0.74677
17.3504,0.79052
17.4669,0.84307
17.566,0.89498
17.6664,0.94507
17.7544,0.99896
17.8341,1.04414
17.915,1.09569
18.0154,1.1693
18.1106,1.23639
18.1954,1.30516
18.268,1.36689
18.3502,1.43627
18.4195,1.50172
18.4829,1.56549
18.5412,1.62982
18.6092,1.70352
18.6798,1.77939
18.7465,1.85863
18.8106,1.9401
18.8747,2.0346
18.9369,2.1266
19.0036,2.2242
19.0618,2.3187
19.124,2.4235
19.1888,2.5281
19.2729,2.6962
19.3494,2.8518
19.4044,2.9631
19.4776,3.1197
19.5456,3.2878
19.6155,3.4581
19.6718,3.6049
19.7301,3.7667
19.778,3.9176
19.8408,4.1137
19.903,4.3168
19.9678,4.5061
20.0221,4.6804
20.0681,4.8631
20.1212,5.0763
20.1853,5.3146
20.2404,5.5421
20.3097,5.8543
20.3815,6.1758
20.4534,6.5366
20.5136,6.8503
20.5654,7.1365
20.6159,7.4248
20.6781,7.7248
20.7325,8.0289
20.7798,8.3644
20.8355,8.628
