Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2015-04-18T22:45:43.750,2,0.005153433405805997,-2.45725037,FoVF,-0.535745719,0.7164108545269803,2457131.4521359038
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2015-04-19T02:59:23.769,6,-0.005223132,-2.449960664,FoVP,-0.539884907,0.7115787931956008,2457131.628309222
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2015-09-03T21:45:43.751,5,-0.002049226,-0.759519362,FoVP,0.6348328959655141,0.7220686025184426,2457269.4097562153
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2015-09-03T23:32:17.958,3,0.0027418157555477063,-0.757298862,FoVF,0.6335910964510116,0.7237084497400963,2457269.4837562875
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2015-10-02T23:15:32.346,1,0.005449075924110222,0.7833577301268122,FoVF,-0.702408653,0.7154466404253939,2457298.469262042
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2015-10-03T03:29:12.357,7,-0.006987205,0.7804684733654014,FoVP,-0.699790388,0.7173048164024055,2457298.6454021544
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2015-10-25T09:26:42.013,4,-4.11E-04,-0.558580806,FoVP,0.49374891351460426,0.7124365902781189,2457320.89158327
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2015-10-25T11:13:16.243,2,0.003937580769470992,-0.561838011,FoVF,0.4957969270157076,0.7101926736357279,2457320.965584218
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2016-03-08T00:12:57.766,2,0.00402484893545658,-2.407622264,FoVF,-0.669416677,0.70488841134823,2457455.508696169
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2016-04-08T04:03:14.646,1,0.004345911233984525,2.4330310335750216,FoVP,0.6409314274391573,0.7122588401767664,2457486.6717096865
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2016-04-27T16:06:53.038,1,0.003786773905811255,-2.596119358,FoVP,-0.376250443,0.7167128288073906,2457506.1759691588
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2016-04-27T17:53:27.219,4,3.015880712766697E-4,-2.592125453,FoVF,-0.3786347,0.7146114918969272,2457506.249981823
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2016-09-13T16:55:45.375,3,9.087664389075155E-4,-0.791538817,FoVP,0.699909615247146,0.7211328027321534,2457645.207355667
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2016-09-13T18:42:19.571,1,0.006089682289780137,-0.790379956,FoVF,0.6993022320651202,0.7220007599839849,2457645.281355263
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2016-10-17T04:26:02.486,1,0.004463001385167964,0.7289015116347441,FoVP,-0.594661814,0.7117074799532425,2457678.6834439454
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2016-11-02T10:31:53.954,2,0.0016975005837270103,-0.352580478,FoVP,0.3177754869092132,0.7093659820773474,2457694.9361355444
